collection_id,dataset_id,dataset_version_id,development_stage,disease,organism,raw_data_location,cell_type
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,GABAergic neuron
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,astrocyte
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,endothelial cell
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,glutamatergic neuron
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,leptomeningeal cell
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,microglial cell
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,oligodendrocyte
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,pericyte
9132fae8-bdfe-480f-9e45-45bc77f320b3,257adc73-8152-414b-a2c7-73861b8e0c0a,56081fda-006d-46c8-82d0-e5bf73f36ce4,early adult stage,normal,Mus musculus,X,smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,ff7d15fa-f4b6-4a0e-992e-fd0c9d088ded,51e05270-1f00-4527-b73a-f770a5a14f62,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,ependymal cell
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,fe1a73ab-a203-45fd-84e9-0f7fd19efcbd,4e124ecc-7885-465c-bab9-4e94d9d40b6a,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,fbf173f9-f809-4d84-9b65-ae205d35b523,5a52f557-aeaf-4fc9-a4a9-7a2eaca5cd3c,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,fa554686-fc07-44dd-b2de-b726d82d26ec,6606e9aa-e4c4-4522-9e38-8128aa415b15,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,42-year-old human stage,normal,Homo sapiens,X,Bergmann glial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,choroid plexus epithelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,ependymal cell
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,f9034091-2e8f-4ac6-9874-e7b7eb566824,8f5b1977-8317-4473-a2ce-cd5d524d7fd2,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,f8dda921-5fb4-4c94-a654-c6fc346bfd6d,1ad58833-956c-4546-be7c-4c63ebd691c0,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,f7d003d4-40d5-4de8-858c-a9a8b48fcc67,4d002ac1-4671-4901-b468-21b56a4d8397,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f7d003d4-40d5-4de8-858c-a9a8b48fcc67,4d002ac1-4671-4901-b468-21b56a4d8397,42-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f7d003d4-40d5-4de8-858c-a9a8b48fcc67,4d002ac1-4671-4901-b468-21b56a4d8397,50-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f7d003d4-40d5-4de8-858c-a9a8b48fcc67,4d002ac1-4671-4901-b468-21b56a4d8397,60-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,f6d9f2ad-5ec7-4d53-b7f0-ceb0e7bcd181,2102f4b8-c1fe-4ee9-be3f-3c3925618b64,42-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,f5a04dff-d394-4023-8811-65494e8bb11d,b92375fd-dafe-44c6-8523-f78c73660e85,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,f502c312-05dc-4fd4-a762-92a63e92b539,b750310e-1abb-4c76-9ff1-689a857a9042,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,29-year-old human stage,normal,Homo sapiens,X,Bergmann glial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,42-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,ependymal cell
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,neuron
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,oligodendrocyte precursor cell
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,pericyte
283d65eb-dd53-496d-adb7-7570c7caa443,f3565fda-499a-4d20-bd92-563c09954c42,f3b7bdf8-7977-4ae6-914a-17a82d1f69b8,50-year-old human stage,normal,Homo sapiens,X,vascular associated smooth muscle cell
283d65eb-dd53-496d-adb7-7570c7caa443,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,209fa352-40c5-49d4-b829-29847390ad1c,29-year-old human stage,normal,Homo sapiens,X,astrocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,209fa352-40c5-49d4-b829-29847390ad1c,42-year-old human stage,normal,Homo sapiens,X,central nervous system macrophage
283d65eb-dd53-496d-adb7-7570c7caa443,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,209fa352-40c5-49d4-b829-29847390ad1c,50-year-old human stage,normal,Homo sapiens,X,choroid plexus epithelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,209fa352-40c5-49d4-b829-29847390ad1c,60-year-old human stage,normal,Homo sapiens,X,endothelial cell
283d65eb-dd53-496d-adb7-7570c7caa443,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,209fa352-40c5-49d4-b829-29847390ad1c,60-year-old human stage,normal,Homo sapiens,X,fibroblast
283d65eb-dd53-496d-adb7-7570c7caa443,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,209fa352-40c5-49d4-b829-29847390ad1c,60-year-old human stage,normal,Homo sapiens,X,leukocyte
283d65eb-dd53-496d-adb7-7570c7caa443,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,209fa352-40c5-49d4-b829-29847390ad1c,60-year-old human stage,normal,Homo sapiens,X,neuron
